"","V1","V2","V3"
"638","BRA","CUB","3.86740331491713"
"639","COL","CUB","2.82958199356913"
"640","CUB","ESP","3.86740331491713"
"641","CUB","HUN","3.86740331491713"
"642","CUB","IRN","2.82958199356913"
"643","CUB","ISR","2.85426460711887"
"644","CUB","PAN","3.06513409961686"
"645","CUB","USA","2.54558020845089"
"646","CUB","VEN","2.82958199356913"
"647","CUB","VNM","4.93827160493827"
"648","CUB","ZWE","4.18006430868167"
"649","CYM","USA","2.2964509394572"
"650","ARM","CYP","3.05343511450382"
"651","AUT","CZE","2.32558139534884"
"652","CZE","DEU","8.15972222222222"
"653","CZE","FRA","3.74724467303453"
"654","CZE","IRQ","2.0746887966805"
"655","CZE","LTU","2"
"656","CZE","MYS","3.25379609544469"
"657","CZE","NLD","4.41860465116279"
"658","CZE","PHL","4.37665782493369"
"659","CZE","SVK","4.86039296794209"
"660","CZE","THA","4.37665782493369"
"661","CZE","UKR","3.11025671833073"
"662","CZE","USA","5.38487796552313"
"663","CZE","ZMB","8.15972222222222"
"664","AFG","DEU","5.75539568345324"
"665","AUS","DEU","1.56261641882868"
"666","BEL","DEU","3.23475046210721"
"667","CAN","DEU","1.42392188771359"
"668","CHN","DEU","1.54066524103947"
"669","COL","DEU","0.386100386100386"
"670","CZE","DEU","8.15972222222222"
"671","DEU","EUR","1.47291342725596"
"672","DEU","FRA","1.86328178751576"
"673","DEU","GBR","2.17739057257966"
"674","DEU","IND","3.11958405545927"
"675","DEU","IRN","1.59505202951765"
"676","DEU","IRQ","3.90243902439024"
"677","DEU","ISR","2.00512405609493"
"678","DEU","KEN","0.237529691211401"
"679","DEU","KHM","1.11317254174397"
"680","DEU","KOR","4.10007806611851"
"681","DEU","MEX","0.749063670411985"
"682","DEU","NER","1.78571428571429"
"683","DEU","NGA","1.89419049627866"
"684","DEU","NLD","3.66442497112968"
"685","DEU","PRK","2.49433106575964"
"686","DEU","SAU","3.00429184549356"
"687","DEU","SEA","2.38095238095238"
"688","DEU","SOM","0.237529691211401"
"689","DEU","SWE","3.11203319502075"
"690","DEU","SYR","1.03161338501476"
"691","DEU","THA","1.40941819084664"
"692","DEU","TUR","3.90243902439024"
"693","DEU","VNM","2.28450948011055"
"694","CHN","DMA","3.21903586609469"
"695","DNK","PAK","4.32330827067669"
"696","DNK","UKR","1.86335403726708"
"697","DNK","USA","1.7648401330336"
"698","DOM","USA","0"
"699","COD","DZA","3.19148936170213"
"700","DZA","EGY","3.70927411492996"
"701","DZA","FRA","2.36794171220401"
"702","DZA","IRQ","1.83823529411764"
"703","DZA","MAR","2.09424083769634"
"704","DZA","MLI","1.50753768844221"
"705","DZA","TCD","2.35537555606984"
